step,train_loss,train_loss_timestamp,train_action_l1,train_action_l1_timestamp,eval_action_l1,eval_action_l1_timestamp,lr,lr_timestamp
5850,0.0921567231416702,1781288162000.0,0.0901009738445282,1781288162000.0,,,0.0001,1781288162000.0
5900,0.0927540138363838,1781288176000.0,0.0906308963894844,1781288176000.0,,,0.0001,1781288176000.0
5950,0.0836048573255539,1781288192000.0,0.0814518257975578,1781288192000.0,,,0.0001,1781288192000.0
6000,0.0949459746479988,1781288206000.0,0.0934752747416496,1781288206000.0,,,0.0001,1781288206000.0
6050,0.0883833169937133,1781288220000.0,0.0871449410915374,1781288220000.0,,,0.0001,1781288220000.0
6100,0.0922648981213569,1781288234000.0,0.090705893933773,1781288234000.0,,,0.0001,1781288234000.0
6150,0.0831234976649284,1781288250000.0,0.080418162047863,1781288250000.0,,,0.0001,1781288250000.0
6200,0.0901884511113166,1781288264000.0,0.0871957913041114,1781288264000.0,,,0.0001,1781288264000.0
6250,0.0927378162741661,1781288278000.0,0.0906636416912078,1781288278000.0,,,0.0001,1781288278000.0
6282,,,,,0.1464656293392181,1781288497000.0,,
6300,0.092205747961998,1781288507000.0,0.0879397541284561,1781288507000.0,,,0.0001,1781288507000.0
6350,0.0834712460637092,1781288522000.0,0.0803029760718345,1781288522000.0,,,0.0001,1781288522000.0
6400,0.0865385383367538,1781288535000.0,0.0843389183282852,1781288535000.0,,,0.0001,1781288535000.0
6450,0.089568942785263,1781288549000.0,0.0878422632813453,1781288549000.0,,,0.0001,1781288549000.0
6500,0.0878479182720184,1781288564000.0,0.0847547128796577,1781288564000.0,,,0.0001,1781288564000.0
6550,0.087300918996334,1781288579000.0,0.0858100205659866,1781288579000.0,,,0.0001,1781288579000.0
6600,0.0808324292302131,1781288593000.0,0.0789749175310134,1781288593000.0,,,0.0001,1781288593000.0
6650,0.087696298956871,1781288606000.0,0.0853558853268623,1781288606000.0,,,0.0001,1781288606000.0
6700,0.0801576599478721,1781288622000.0,0.0783412680029869,1781288622000.0,,,0.0001,1781288622000.0
6750,0.0842729955911636,1781288636000.0,0.0819625407457351,1781288636000.0,,,0.0001,1781288636000.0
6800,0.089807316660881,1781288650000.0,0.0875475257635116,1781288650000.0,,,0.0001,1781288650000.0
6850,0.0873334854841232,1781288663000.0,0.0842713862657547,1781288663000.0,,,0.0001,1781288663000.0
6900,0.0860701948404312,1781288678000.0,0.0837678387761116,1781288678000.0,,,0.0001,1781288678000.0
6950,0.0809723660349845,1781288693000.0,0.0788520947098732,1781288693000.0,,,0.0001,1781288693000.0
7000,0.0862506181001663,1781288707000.0,0.0837557390332222,1781288707000.0,,,0.0001,1781288707000.0
7050,0.076788805425167,1781288720000.0,0.0735843703150749,1781288720000.0,,,0.0001,1781288720000.0
7100,0.0794159621000289,1781288736000.0,0.0764497369527816,1781288736000.0,,,0.0001,1781288736000.0
7150,0.0810601636767387,1781288750000.0,0.0774056240916252,1781288750000.0,,,0.0001,1781288750000.0
7200,0.0811978057026863,1781288763000.0,0.0780678689479827,1781288763000.0,,,0.0001,1781288763000.0
7250,0.0771068483591079,1781288776000.0,0.0750612244009971,1781288776000.0,,,0.0001,1781288776000.0
7300,0.0874751284718513,1781288792000.0,0.0858862027525901,1781288792000.0,,,0.0001,1781288792000.0
7350,0.0755436196923255,1781288805000.0,0.0725875124335289,1781288805000.0,,,0.0001,1781288805000.0
7400,0.0811062902212143,1781288820000.0,0.077983520925045,1781288820000.0,,,0.0001,1781288820000.0
7450,0.0796774700284004,1781288834000.0,0.0779388546943664,1781288834000.0,,,0.0001,1781288834000.0
7500,0.086989052593708,1781288849000.0,0.0842135399580001,1781288849000.0,,,0.0001,1781288849000.0
7550,0.0835989862680435,1781288864000.0,0.0817923322319984,1781288864000.0,,,0.0001,1781288864000.0
7600,0.0852198749780654,1781288878000.0,0.0835263580083847,1781288878000.0,,,0.0001,1781288878000.0
7650,0.0836692005395889,1781288891000.0,0.0814470946788787,1781288891000.0,,,0.0001,1781288891000.0
7700,0.0818082839250564,1781288906000.0,0.081110343337059,1781288906000.0,,,0.0001,1781288906000.0
7750,0.0877434015274047,1781288920000.0,0.0848781391978263,1781288920000.0,,,0.0001,1781288920000.0
7800,0.0837909802794456,1781288934000.0,0.0825987756252288,1781288934000.0,,,0.0001,1781288934000.0
7850,0.0813275724649429,1781288947000.0,0.0804580003023147,1781288947000.0,,,0.0001,1781288947000.0
7900,0.0886020213365554,1781288963000.0,0.0869746431708335,1781288963000.0,,,0.0001,1781288963000.0
7950,0.0829919055104255,1781288977000.0,0.0811612010002136,1781288977000.0,,,0.0001,1781288977000.0
8000,0.0773914456367492,1781288990000.0,0.0747345015406608,1781288990000.0,,,0.0001,1781288990000.0
8050,0.0843667462468147,1781289005000.0,0.0827308595180511,1781289005000.0,,,0.0001,1781289005000.0
8100,0.0779812783002853,1781289019000.0,0.0762633234262466,1781289019000.0,,,0.0001,1781289019000.0
8150,0.0807593911886215,1781289033000.0,0.0794633850455284,1781289033000.0,,,0.0001,1781289033000.0
8200,0.0838013738393783,1781289047000.0,0.0820764750242233,1781289047000.0,,,0.0001,1781289047000.0
8250,0.074455626308918,1781289060000.0,0.0727382749319076,1781289060000.0,,,0.0001,1781289060000.0
8300,0.0811122506856918,1781289075000.0,0.0799943655729293,1781289075000.0,,,0.0001,1781289075000.0
8350,0.0811594128608703,1781289089000.0,0.0797140151262283,1781289089000.0,,,0.0001,1781289089000.0
8376,,,,,0.1547706872224807,1781289303000.0,,
8400,0.0806132778525352,1781289313000.0,0.0782275646924972,1781289313000.0,,,0.0001,1781289313000.0
8450,0.0764233022928237,1781289328000.0,0.0752485021948814,1781289328000.0,,,0.0001,1781289328000.0
8500,0.0791681855916976,1781289342000.0,0.0783227905631065,1781289342000.0,,,0.0001,1781289342000.0
8550,0.0826824083924293,1781289356000.0,0.0806697979569435,1781289356000.0,,,0.0001,1781289356000.0
8600,0.0823793560266494,1781289369000.0,0.079044260084629,1781289369000.0,,,0.0001,1781289369000.0
8650,0.0820578411221504,1781289384000.0,0.0801135301589965,1781289384000.0,,,0.0001,1781289384000.0
8700,0.0826774910092353,1781289398000.0,0.0803784355521202,1781289398000.0,,,0.0001,1781289398000.0
8750,0.0783474296331405,1781289413000.0,0.0761847719550132,1781289413000.0,,,0.0001,1781289413000.0
8800,0.074686698615551,1781289426000.0,0.0736225023865699,1781289426000.0,,,0.0001,1781289426000.0
8850,0.0759957730770111,1781289440000.0,0.0752976089715957,1781289440000.0,,,0.0001,1781289440000.0
8900,0.0742254629731178,1781289453000.0,0.0726034045219421,1781289453000.0,,,0.0001,1781289453000.0
8950,0.0815704688429832,1781289467000.0,0.0797643214464187,1781289467000.0,,,0.0001,1781289467000.0
9000,0.0789906978607177,1781289481000.0,0.0775444284081459,1781289481000.0,,,0.0001,1781289481000.0
9050,0.0760130435228347,1781289496000.0,0.0732579231262207,1781289496000.0,,,0.0001,1781289496000.0
9100,0.0808267518877983,1781289509000.0,0.0792804583907127,1781289509000.0,,,0.0001,1781289509000.0
9150,0.0807475447654724,1781289523000.0,0.0803615599870681,1781289523000.0,,,0.0001,1781289523000.0
9200,0.0748910903930664,1781289536000.0,0.0747254639863967,1781289536000.0,,,0.0001,1781289536000.0
9250,0.0760824456810951,1781289550000.0,0.0738212093710899,1781289550000.0,,,0.0001,1781289550000.0
